Niguiri Otate,mi
Kbzon Roll,en
Menú 8 Piezas,es
Temaki Tako Spicy,pt
Crispy Roll,en
Salsa Asiática,es
Lasagna,en
Sashimi Maguro,en
Patagonia Roll,cy
Tempura Light,en
Yakimeshi,sw
Avocado Kani,tl
Sake ebi,en
Coca Cola ,gl
Sevillana,es
California Tori,en
Salsa Katsu,et
Pan blanco básico,es
Turo Roll,en
California Cheese,en
Masago,so
Tonkatsu Roll,en
Nigiri Tuna,jw
Ebi Roll   ,en
Niu IV (3 Personas),es
Diente solo,es
Sake Gratinado,pt
Latas,es
Minicalzone Jamón,es
California Ebi,en
Fresh roll,en
Condell,it
Lomito Luco,it
Apanados camarón,es
Chilena,es
Ají de Gallina,es
California Palmito ,pt
Bajiru Roll,en
Barros Jarpa,es
Cheesecake Salsa Dulce de Leche,es
Tempura Maki,en
Gohan,es
Cheescake Roll,en
46.- Maki Tempura,en
Sashimi,en
Ebi Teriyaki Roll,en
Temaki Maguro,pt
Capresse Burger,en
Níu Maki,is
Familiar,en
2 Personas (26 piezas),es
Merlot,en
2 Pizzas Familiares de 3 ingredientes + Bebida 1.5 lts.,es
Yakitori,vi
Especial de la casa,es
Lomito Luco,it
103- Chicken Katsu,et
Fresh Pepino,es
Maxiqueso,fr
Tori Katsu ,et
1 pizza mediana de 3 ingredientes,es
Tabla Vegetariana,es
Furai Roll,en
Española,es
Completo,es
Uramaki especial ebi,gl
Gamberetti,it
California Ebi Cheese,en
Yakimeshi,sw
Miyagi Roll,en
Nori Tempura,lt
Baclawa,cy
Caviche Sake Ebi,en
Sake,en
Masago,so
Tori Avocado Roll ,en
Grandiosa,it
Tommybra Roll ,en
California Nut                                      ,en
Arroz de mariscos,es
Bajiru Roll,en
25.Katsupal,ny
Empanadas Niu de Verduras,es
California Ebi Crispy,en
Red Roll,en
Otate Maki,ms
7 Up 2 Lts.,en
California Nut                      ,en
Condori Helado,es
Ebi Maki,en
Futomaki Teriyaki Rolls,en
Empanadas de pino ,es
Maren Maki,da
Sake ebi furai,en
Maximilian Roll,en
Guille Roll,es
Mini roller BBQ Tocino,es
Javi Roll,en
Florentina,ro
Aros de cebolla,es
Hosoebi,st
Hosomaki ebi,en
Arroz salteado    ,es
Menú 19 Piezas,es
Tabla Mixta,es
Sashimi Appetizer ,en
Envoltura de palta ,es
Gonzi Roll,mt
Tori Roll,en
"Relleno: camarón, palta y queso crema (Q2)",es
Yakisoba,zu
Sashimi Tako,sl
California Makimono,en
Kappa Maki,en
Sake crab,en
Chilean Roll,en
Cebiche Nikkei,es
Griego,es
Ikafurai,sw
"Jamón, Queso y Palmito",es
Orange Lata,en
Pollo Tsurai,es
Minicalzone Carne,es
Cream surimi,fr
Chapsui con Carne de Cerdo,es
Aburi,ro
Sake cheese,en
Mix Tempura            ,en
Yakimeshi Especial,es
166. Yakimeshi,sw
Como las Berenjenas,es
Ebi Furay,so
Kappa Maki,en
Sandwich Rapido y Furioso,es
Gohan House,en
Tako Panko Roll,es
2 Personas (38 Piezas),es
Superior,es
Menú 4 ,es
Beto Maki,pt
Salsa Asiática,es
Salsa Unagi,jw
Sandwiches Holanda,en
Bebidas 355cc,es
Gohan ,es
63 Smoke Rolls,en
Gohan,es
Chaumin con Pollo,es
Champiñón,eo
House Roll,en
California Ebi,en
Minicalzone Carne,es
Beyonce Roll,en
Pizza mediana hasta 4 ingredientes,es
Unagi Roll,jw
Cevichado Roll   ,en
Masago,so
House Salad,en
Nigiri Ebi ,jw
Lotto Roll,en
White Roll,en
Delicada,es
Dragon Roll Z,en
Guille Roll,es
Ceviche Roll    ,es
015 Unagui,sw
Atún,es
Cebolla y Aceitunas,es
Camarón ecuatoriano,es
Tako Ebi,sl
Chicken Salad,en
1 pizza mediana de 3 ingredientes,es
Kurosawa Rolls,en
096 Selección furai,es
Conchali,it
Fideos de Arroz con Verdura,es
Maxiquesos,ca
Palta       ,es
House Roll,en
Cheesecake Salsa Frutilla,es
Sashimi Pulpo,es
Temaki Maguro,pt
Canada dry                  ,en
Ligure,it
California Sake,en
Makisake Rolls,en
Ebimaki,ig
Chirashi Premium,en
Combo 4,en
Ebi Cheese Furay,so
Capresse Roll,en
Gyosas,hu
Sake Roll,en
Spinach Artichoke Dip,en
"Choclo coctel, palta y cebollìn",es
Pulpo                ,es
Sake tori,en
1 Pizza XL de 3 ingredientes + Bebida 1.5 lts.,es
Hamburguesa a lo pobre,es
2 pizzas lasaña,es
4. (28 piezas) 2 personas,es
Salsa Ponzu,es
Smothered Cheese Fries,en
Turo Roll,en
Minicalzone Jamón,es
Tako Roll,sl
Ceviche de reineta,es
Tujez,cs
California Natura,en
36 Kariño Roll,eu
Salmón,es
Zen roll ,en
Koroke Sake,mi
Barros Jarpa,es
Turo Roll,en
Grandiosa,it
California Edo,eu
Sashimi Niu,en
Acelga Vegetariana (18 unidades),gl
Otate hot roll,en
Itálica,es
Tempura Ebi Cheese,en
Gyozas (6 unidades),gl
Pequepizza,es
6 Personas (90 piezas),es
Lomito Luco,it
Pequepizza,es
28.Fungi (vegetariano),en
Hosomaki espárragos,es
Trucha loin premium,es
Hot Dog Italiano,en
Jugos Néctar,es
Arrollado Jamón Queso ,es
Bebidas,es
White Roll,en
Promoción válida sólo Domingo: 3 pizzas medianas hasta 3 ingredientes ,es
4 Personas (52 Piezas) ,es
Sake Roll,en
Cheese Roll,en
Vegetariano,pt
054 Tako shiru,ha
Otate Cheese,en
Sprite,en
46. Niguiri Tako,sl
Ceviche de Mariscos al Cilantro,es
Lomito Luco,it
Tako,sl
Megami Rolls,id
Onion BBQ,en
18. Kani Cheese,en
Gyozas de Pollo,es
California Fresh,en
Furay Roll,so
Tempura Ebi (8 unidades),gl
Furai Roll,en
Chicken Roll,en
Plateada con Agregado,es
Andre Roll,no
Gyozas de Champiñon Queso Crema,es
Kimura Vip (100 Piezas),es
Promoción 7,gl
Salsa Orimushi,es
Volcano Roll,en
Chirashi Niu,en
California Tako,en
Chicken Loaded Potato Skillet,en
El campesino,es
Mini roller BBQ Cebolla,es
Bagel Roll,en
Camarón Si Chiu,es
Chahan Nikkei,en
Sopa I Fu Min,it
Salmón,es
2 pizzas medianas de 3 ingredientes,es
Yakimeshi camarón,es
Palta Rellena de Pollo,es
Gyosas de Camarón,es
Sashimi Pulpo,es
Yakitori (3 unidades),gl
Cream Roll,en
Ceviche Sour   ,es
Bebida individual,pt
Minicalzone Champiñón,eo
Para 3 Personas B (36 Piezas),es
Zinger Italiano,vi
54.- Avocado Ebi Cheese Roll,en
Torimeshi,sq
Tori Furay,so
Bailey's Roll,en
Bambino,it
Empanada de Champignon y Queso,es
Atún,es
Furai Spring,en
Tempura Sake   ,en
Grissines Trjillo ,en
Gohan,es
Antojitos Para Dos o Tres,es
Café Ristretto,it
Salsa Katsu,et
Razz wraps 85,en
Barrio Santo,es
Tako Roll,sl
115 Yakisoba,sw
Paris,fr
Oyako Don,ig
6 Personas (90 piezas),es
I Pizza Familiar de 3 ingredientes + Bebida 1.5 lts.,es
Temaki Ebi,pt
Sake Maki,en
Gyosas de Verduras ,es
Tacu Tacu de Mariscos,lv
Coca Cola ,gl
Hawaiana ,es
Sashimi Appetizer ,en
Yakisoba,zu
Orly Roll,en
Mozzarella Caprese,it
Gohan House,en
50. Tori tempura roll,en
California Tempura,en
Furay Roll                  ,so
Capresse Roll,en
Tako Rolls,en
Barros Jarpa,es
Tonkatsu Roll,en
Grandiosa,it
24) Cheese tery roll,en
Familiar,en
Iro Salad,en
California Tori      ,en
Pollo Tsurai,es
Palmito Atún,es
Shumai,sq
Tiko Rolls,en
Yakimeshi,sw
Chilena,es
Pequepizza,es
Nigiri Maguro,jw
Wafles caseros con syrus de miel,es
Pizza Sicilia,it
4 Estaciones,es
Rai Roll,en
Razz 56,pl
1 Hosomaki,st
Teriyaki,en
Sake Furay,so
Queso con Champiñon,es
Miyagi Roll,en
Vegetarianas,es
Tori Don,en
Empanada de pollo,es
Hosomaqui,pt
Ebi Gyozas,en
Niu Roll,en
17. Natura,it
Palta Seba Maki,sk
Tako Roll,sl
Cheese tori,en
Bebida 1.5 Litros,es
Especial de la casa,es
Rellenos,es
Koroke de Jaiba,yo
Mediterránea,es
Beto Maki,pt
Champi Furai Roll,jw
Masago Cheese,so
Arroz verde con pollo,es
Tako Roll,sl
Elige 1 de las 3 Nuevas Pizzas + 3 Litros de Pepsi ,es
House Tilapia,en
Bebidas en lata,es
Torta Imperial de Chocolate,en
095 Camarón furai mozzarella,es
Pizza familiar hasta 4 ingredientes,es
Shawarma,da
Minicalzone Jamón,es
Arroz a la Mexicana,es
Ensalada a tu Gusto,es
Rock & Roll,en
Ebi Furay ,so
Ebi Tempura Roll,en
Avocado Roll,en
Pulpo al olivo cevichera,es
Jalisco,es
Crispy Roll,en
Akita Roll,en
Albahaca Roll,es
California Nut.,en
81. Furay Ebi,so
Tempura Mix (8 Unidades),gl
Plato de arroz,es
Mini roller BBQ Choricillo,en
Kaki,id
Shrimp Salad,en
Mechada Luco,es
New York Meat Lovers,en
Ibérico,es
Home Big Pollo Full,en
California Sakana,mg
4 Quesos,es
Italia,it
Sebi Roll,en
Palta Seba Maki,sk
Superior,es
"Pollo Relleno Deshuesado con Curanto o Verduras o Piña, Tocino y Jamón.",es
Sándwich Churrasco,pt
California Maguro,en
45.- Fresh Salmón,es
Sake Cheese Roll,en
Green Peace,en
Otate Roll,en
Minicalzone Jamón,es
Ebi Maki,en
California palmito,pt
Delicada,es
Kani Maki,tl
Minicalzone Carne,es
Spaghetti alla Vongole,it
Sashimi Appetizer ,en
Light Roll Garden Roll ,en
72 Smoked Roll,en
62. Yakimeshi pollo,es
Cerdo Mongoliano,es
Rodeo,en
California Makimono,en
Pimentado extra,en
47. Takotte,mi
"Salmón, queso y aceituna o palmito",es
13 Avocado Surimi,fr
Palitos de ajo,es
Ke Banquetazo Mega,id
Palta ,es
Sashimi Mixto,es
Salmón Laminado Carpaccio ,es
Bebidas 1.5 Lt,es
Triologia Niu,en
Sakekani,jw
Salmón,es
Delicia Roll,pt
Nigiri Maguro,jw
Chivas Regal,es
Big Pollo,en
Kross,et
98. Camarón Spicy,es
Nigiri camarón ,jw
17 Avocado Sake,en
2 X 1 Pizza Mediana,es
Mediana,es
Margarita Mango,es
A la Crème,fr
Ika Furai,jw
47. Niguiri Unagui,sw
Corvina Papillot,hu
Pan de Ajo ,es
Ebi Roll,en
Promoción válida sólo Domingo: 3 pizzas medianas hasta 3 ingredientes ,es
Combo Doble Crispy Clásico,es
Tilapia                       ,en
California EBI ,en
Sake Maki,en
1 Pizza Personal de 3 ingredientes + Lata Bebida,es
Ebi Cheese Maki,en
Nigiri Maguro,jw
Empanadas de pino ,es
Gohan ,es
California Mango Camarón,es
Pequepizza,es
Ebi Roll,en
Chicken Box Snack,en
Salchipapas,tl
Barros Jarpa,es
Chicken Roll,en
7 Arrollado primavera,es
Tabla B,es
Palta,es
J (24 Unidades),gl
Chacarero,ga
2 Personas (26 piezas),es
23 Tery Roll,en
Sashimi Maguro,en
Avocado Cheese Roll,en
House Tilapia,en
Jalisco,es
Brochetas Yakitori,es
Surimi Maki,fr
Smook Maki,af
Refrescos de lata,es
Chirashi,uz
Atún,es
Kani maki,tl
Maschio,it
California Unagui,en
Marshell rolls,en
Sake cheese nut,en
2 Pizzas Familiares de 3 ingredientes + Bebida 1.5 lts.,es
Alitas de pollo,es
A la Crème,fr
Ginger Ale 1.5,en
Ke Banquetazo Mega,id
Onion BBQ,en
2 Pizzas Familiares de 3 Ingredientes+ Bebida de 1.5 lt. ,es
Otate Rolls,en
Kappa Maki,en
Cebiche de Pescado,es
Corvina en salsa de Alcachofas,es
Seminario,gl
California Gabba,en
Chapsui Especial,es
Smoked Rolls   ,en
Sake maki,en
Spicy Tempura,en
Minicalzone Jamón,es
92.- Kinoko Tempura,en
Alitas de pollo,es
Hamburguesa,es
Durazno,es
Callifornia Sake                  ,en
Nigiri Crab,jw
Ristretto,it
California Ebi Cheese Tempura                   ,en
Marine Roll,en
Tori Sake Rolls,en
42. Furay Sake Hum,so
Yakimeshi,sw
Tori Roll,en
Tempura sake cheese roll,en
Brochetas de Pollo,es
California tempura ebi cheese,en
Onion BBQ,en
Chilena,es
Martin fierre,en
Sake Tempura,en
Rainbow Roll,en
43 Mateo Roll,en
Puré,es
Camaron Fuyon  ,es
9. Queso,es
Oriental,en
Minicalzone Jamón,es
Pizza familiar hasta 4 ingredientes,es
Palta,es
Tori Roll,en
Club Pack Sushi - 86 piezas,es
Tabla 36 cortes,es
Sake Green,en
Sashimi Appetizer ,en
Beto Maki,pt
109 Caesar,en
Jauro,ha
Tres son multitud (56 piezas),es
La Bella Reggina,it
15 California Kosho,en
Empanadas de pino ,es
Chicken Karaage,mi
Mozzarella eby,en
Sashimi mixto,es
Vegetarian Thai     ,en
Miyagi rolls,en
Pollo Yakitori,vi
Pizza 32,en
42 Piezas,es
Roll's tempura curry B,en
Familiar,en
Ebi Cheese Especial,en
Ebi Sake roll ,en
Sake maki,en
Gran bife de chorizo premium,es
Smoky Roll,en
Ebi Furay,so
Unagui Hot,en
F5 Sake furay,so
Salsa Tare,ro
Salmón,es
California Pulpo,es
California Natura,en
Razz 78,pl
California ebi,en
Chicken Furai Roll,en
Cebiche de Camarones a la Piedra,es
Café,pt
Yakimeshi Especial,es
Churrasco Tomate,pt
NG4003 Nigiri Unagui,jw
Salmón teriyaki,es
California Maguro,en
Liviana,es
Avocado Roll,en
10 Tori Furay,so
Koroke de Jaiba,yo
Nevado,es
Sashimi Tako,sl
Barros Jarpa,es
Gohan ,es
Arrollado de jamón y queso,es
California green,en
Rodeo,en
California Maguro,en
Promoción Súper Extra,es
Maxiquesos,ca
Superior,es
10. California Ebi Cheese,en
Bagel Roll,en
3.California sake ebi,en
Chirashi Niu,en
Superior,es
Ebimaki,ig
82 Hosomaki Sake Maki,en
Completo italiano,it
Avocado Pollo Light,en
Spicy Maki,en
Tori Don,en
Soya 40 ml,en
16 Sándwich vegetariano,es
Sashimi Tako,sl
Beto Roll,pt
Individual,en
Ciboulette Tempura,fr
Avocado Roll,en
Nigiri Tako,jw
Cerveza Cristal Zero,es
084 Full roll,en
Tagliatelle Salsa Ragu,id
Chilena,es
Rodeo,en
Crab Maki,en
71 Ebi,en
Sake Pollo,es
30+10 tempura,en
Tempura Nori,lt
Akita Roll,en
Bagel Roll,en
Palmitos,pt
Futomaki Sayuri Roll,ro
Onion BBQ,en
Teriyaki Tori,en
Minicalzone Carne,es
Pechuga de Pollo ,es
Empanadas,es
024 Hand roll 3,en
Barros Jarpa,es
Torta Imperial de Chocolate,en
Temaki Tempura,pt
Maguro Spicy,en
70. Akitu Rolls,eu
Superior,es
Nigiri Ebi,jw
Temaki Spicy,pt
Mediterránea,es
Nigiri unagui,jw
70.Tuna roll,en
Nigiri Maguro,jw
El Pelao,es
1 Pizza Personal de 3 ingredientes + Lata Bebida,es
 Creme brulee de maracuyá,es
Sake   ,en
Empanadas,es
Lata 350 cc.,pl
CheeseCake Roll,en
4 Quesos,es
1 pizza mediana de 3 ingredientes,es
Chirashi Premium,en
Ebi Thai,en
Tako Spicy,en
Chicken Roll,en
Palitos de Ajo,es
40. Capone,en
Canada Dry,en
4 Quesos,es
19- Avocado Crab Roll,en
California Smoke,en
Tempura Maki,en
Queso Crema,es
Tuna Roll,en
Queso cabra ,es
Chilena,es
Avocado Roll,en
Carne mongoliana,mg
Pizza 4 Estaciones,es
California Maki,en
Ebi Teriyaki Roll,en
1.5 Lt,lt
Mediterránea,es
Combinado Mikai Especial    ,ha
013 Sashimi tropical,en
Rodeo,en
ANAKENA INDO RESERVA,mi
Cebollín,cs
Filete en salsa de champiñones y tocinos,es
Fresh Roll,en
Sashimi Maguro/Atún Rojo,es
67. Beef Rolls,en
Gaseosa 1.5 Lts. ,es
Carike,af
Nigiri Sake ,jw
Juntos y revueltos,es
Recoleta,es
Nigiri Ebi,jw
13 Avocado Surimi,fr
Mini roller BBQ Choricillo,en
Sudado de Pescado,es
Hosomaki Sake,en
Tempura Yasai,ha
Rodeo,en
D1 Ebyte,fr
Unagui masago,so
16.- Sake Roll,en
Salsa Tare,ro
Gunkan Ostiones,id
Yakisoba de Carne,es
Light Roll,en
Té,ca
Mousse de Maracuya,fr
098 Arroz chaufán especial,es
Combinación 1 *16 Piezas (1 persona),es
Palitos de ajo,es
Especial de la Casa,es
California Tako ,en
Miso Soup,en
Fetuccinis,ca
Minicalzone Carne,es
38- Tako Spicy,en
Bebidas en lata,es
Sándwich El Batard,es
Crispy roll ,en
Serrano Red Roll   ,en
Tempura Roll,en
Yakimeshi,sw
Ebi Cheese Maki,en
Nigiri Camarón,jw
Gyozas Pollo,es
Pulpo,es
118 Mix Batayaki,en
Edu Rolls,en
Mankora Roll,en
Nigiri Tuna,jw
Sake Cheese Roll,en
California Ebi Cheese,en
Arroz Matsue Tori,en
Oferta 1,es
Plato Buda,es
Yoko roll,en
Hosomaki Salmón,es
Minicalzone Champiñón,eo
Cheesecake Salsa Frutilla,es
Kurumiyage,tr
Tori Furay,so
Cerveza Cristal,es
Cheescake Salsa Dulce de Leche,es
92. Pulpo-Queso crema,es
Ebi Furay,so
31 Tuna Roll,en
Temaki Ebi,pt
Tempura Cam,en
Salmón,es
California EBI Cheese ,en
Chilena,es
145. Salsas Extras,es
Veneciana,es
Chilena,es
Palitos,es
Alemana  ,es
Pequepizza,es
Bebidas Coca-Cola Grandes,es
Atún Salad,es
Tempura Mixto,es
Unagi Maki,jw
Furay Roll                 ,so
Roll Acevichado.,en
Pizza verdie e nere,it
Pizza Milanesa,pt
Malaya,ms
Surimi Maki,fr
Rodeo,en
"Torta Mil Hojas, Manjar y Vainilla",es
Tekka Maki,id
California vegetal,en
Salsa Oriental,es
Queso,es
Aki Tori,hu
Cheese Roll,en
Ebi tempura,en
Especial de la Casa,es
Tomato Roll,en
106. Sopa miso,en
2 X 1 Pizza Personal,en
3 pizzas medianas hasta 3 ingredientes,es
Ensalada Japón,es
Shimo Sweet Unagi Roll,jw
Refrescos,es
Duo especial rolls,en
14 Chicken,en
1 Persona (18 Piezas),es
Mediterránea,es
Sashimi Appetizer ,en
Papas Fritas,es
Minicalzzone,it
Tori furai,fi
Niguiri Maguro,yo
Barros Jarpa,es
A la creme,fr
Kross Stout,en
Personal ,en
Aros de cebolla,es
Tau,ro
Pollo Katsu,et
Gnocchi de papa,it
Capuccino italiano,pt
Kani tempura,tl
Kioto Roll,es
Nigiri Tako,jw
Osaka,en
Avocado Roll,en
Mixto                    ,es
Leche de pantera,es
Miyagi Roll,en
Naranja Chocolate,es
Campera,es
Crush,en
Alfreda,pl
56 piezas,es
Arroz Nakashi,es
50 Agu Roll,en
"Palmito, palta, queso crema",es
15 Avocado Ebi Tempura,en
Mediana,es
California Maki,en
Delicia Roll,pt
Rock & Roll,en
Sashimi,en
26 piezas,es
Akita Roll,en
Coca Roll,en
Bebida 1.5 lts.,pt
1 Pizza Familiar de 3 ingredientes + Bebida 1.5 lts.,es
Lomito Luco,it
Akai Roll,en
House Tilapia,en
Kimura Para Compartir (60 Piezas),es
Tori Don,en
Tempura Light,en
Minicalzone Jamón,es
Ceviche Mixto,es
H5 Saki champiñón,eo
3 Chicken Strips,en
Torta Imperial de Chocolate,en
Chacarero,ga
California Ebi Cheese.,en
Bebida 3 Litros,es
"Gohan, desde:",es
Lúcuma,ga
Gyosas Pollo,es
Ensalada a la Chilena,es
Nigiri Tako,jw
Tacos de Res,es
Minicalzone Champiñón,eo
37 Vienesa Gigante,es
76.Pollo Sake Crispi,it
Sándwich BMT,es
Park 3 premium (40 cortes),en
Carne estilo cantonés,gl
Yakimeshi Especial,es
Teriyaki,en
Nigiri Maguro,jw
Edo Roll,eu
Sándwich de Albóndigas,es
Chirashi kani,tl
California Tori                          ,en
72.Sake maki,en
Café o Té y Prensado de Jamón y Queso,es
Tekka Maki,id
Yakisoba de Mariscos,es
Nigiri Ebi,jw
Vegetarianos,es
Sweet Cream,en
Salmón Tobu,es
3 pizzas medianas hasta 3 ingredientes,es
Unagi Roll,jw
"Envuelto en queso crema, desde:",es
57 Take Cheese Roll,en
27.Avocado Vegetariano,pt
Tsurai Roll,ht
A la Crème,fr
Sibaritas fusión,gl
Tabla Oriental ,es
Ronda criolla a lo piurano.,es
A la creme,fr
Aros de cebolla,es
39 Take Roll,en
Tempura Roll,en
Torimeshi,sq
Empanada de Ave,gl
Temaki Maki,pt
Chicken Box 3,en
Vodka Sour ,en
Tempura Roll,en
Mediana,es
Chirashi Premium,en
Empanadas de Queso ,es
Maximilian Roll,en
Mushroom Cheese,en
Milanesa de filete,es
Sashimi Atún,es
California Tempura,en
Ebi Cheese Roll,en
Canada Dry,en
Pollo Tsurai,es
Superior,es
Ameaby Roll,en
Superior,es
Trío mongoliano,es
Tako Roll,sl
Hosomaki Ebi,en
44.- Tori Tempura,en
Costillar cantonés,gl
Tempura Spicy,en
Temaki Tako Spicy,pt
Ca-tu Roll,ro
Minicalzone Jamón,es
Delicada,es
Gyosas Camarón ,es
Filete Oriental,es
California kioto limón,es
80 Teriyaki de Pollo,es
60. Yakitori,vi
Durazno,es
Pabla Maki,bs
Tuna Maki,en
Octopus Olive      ,en
Onion BBQ,en
Envueltos en almendras tostadas:,es
California Unagui.,en
A la Crème,fr
Bebida 1.5 lts.,pt
Tempura Mixto,es
Salsa Bolognesa,es
Cerveza Austral,es
Ración de Olivas,es
Especial de la Casa,es
Nigiri Marisco,jw
Ebi Cheese Roll,en
4 Quesos,es
Mix Niu Furai,en
65 Light Roll,en
Queso y aceitunas verdes,es
Gyozas de Camarón,es
Quesadillas de Ostiones,es
Torta Imperial de Chocolate,en
Sashimi Salmón,es
98. Gyosas de Camarón,es
Cheescake Salsa Frutilla,es
"Kanikama, ají verde y palta",es
Sakanatataky Especial,es
Ceviche Misky Mikuy,es
Sashimi Tako,sl
4 X 1 Pizza XL,en
Ebi Gyozas,en
47 Pato Roll,en
Mini roller BBQ Tocino,es
Negra Modelo,es
Nigiri Unagi,jw
Carne Vapor,es
California Tako Spicy,en
California Ebi Cheese Tempura,en
Sashimi Mixto,es
Barros luco grande,pt
Italiano,it
Temaki Spicy,pt
Bambino,it
Bolitas de Kubbe x6,es
 Chicken Box Snack,en
Mariscos,es
Olivo,es
Mechada Luco,es
Beto Maki,pt
Nico Roll,en
Sake Roll,en
Sprite,en
Ebi Roll,en
Empanadas de pino ,es
Promoción válida sólo Domingo: 3 pizzas medianas hasta 3 ingredientes ,es
Kochi Rolls,en
Taki Roll,en
Salsa Unagui,es
temaki maguro,pt
Sándwich Ave Palta,es
1 pizza mediana de 3 ingredientes,es
