Unique-Menu,Unique-Menu-Translation,Match
"Promoción 2 X 1. Elige Tus 2 Pizzas Medianas, Iguales O Combinadas Y Cancela La De Mayor Valor",Promotion 2 x 2 equal 1. choose your medium pizzas or combined and cancels the higher value,72
Promo Sándwich,promo sandwich,54
Omelettes,omelettes,33
Temaki - Hand Roll,temaki - hand roll,72
Antojitos de países vecinos,Antojitos neighboring countries,94
Platos y ofertas,dishes and deals,100
Korokke,korokke,100
Rolls Makimono,rolls makimono,96
Lasaña,Lasagna,71
Uramaki especial,Special Uramaki,93
Special hot rolls,special hot rolls,36
"Carne, Pollo y Agregados",Chicken meat and aggregates,82
Chicken Wings,chicken wings,15
Promo menú,Promo menu,45
Mix Rolls,Mix Rolls,94
Rolls Env. En Salmón,env rolls. in salmon,91
Sándwich As,sandwich as,76
Rolls Envueltos en Salmón,Rolls Wrapped in Salmon,88
Californias con Queso Crema,Californias with Cream Cheese,92
Agregados extras,added extras,37
Avocados,avocados,47
Sándwich Tradicional,Traditional sandwich,95
Rolls envueltos en queso crema,cream cheese wrapped in rolls,36
Extras y postres,extras and desserts,100
Sándwich en Pechuga de Pollo,chicken breast sandwich,96
Vegetales,vegetables,47
Gohan y otros,gohan and other,88
Dips,dips,100
Postres Finos,fine desserts,100
Sándwich Vienesa,Viennese sandwich,94
California Rolls (8 unidades),California Rolls (8 units),74
Jueves,Thursday,100
Liquidos,liquids,82
Special Rolls Tempura,special tempura rolls,69
Mix Manía,Mix Mania,84
El chef recomienda,The chef recommends,100
Sándwiches completos,Full sandwiches,100
Promo Jueves,Promo Thursday,100
Cream rolls,cream rolls,38
California Lemon,california lemon,84
Roll Fritos,fried roll,90
Sándwich en Vacuno,beef sandwich,64
Envueltos en Pulpo,wrapped in octopus,97
Rolls Grandes o Futomaki,large rolls futomaki,78
Al wok,wok,66
Promociones Wow! Sushi,Promotions Wow! Sushi,100
Tequila,tequila,100
Specials Rolls,specials rolls,65
Sushis al gusto (máximo 4 ingredientes),sushi taste (maximum 4 ingredients),78
California Envueltos,california wrapped,97
Sashimi & Ceviche,sashimi & ceviche,94
Rolls Especiales (8 Unidades),Special rolls (8 units),91
Jugos y energizantes,juices and energizing,97
Roll envuelto en queso crema,roll wrapped in cream cheese,100
Menú Garcilazo,garcilazo menu,93
Pastel,pastel,100
Alitas de Pollo,chicken wings,92
Fajitas Naturales,natural fajitas,100
Sauvignon Blanc,sauvignon blanc,100
Platos Familiares,familiar dishes,100
Roll envuelto en Palta,roll wrapped in avocado,80
Churrascos Filete,fillet barbecues,77
Kebabs,kebabs,100
Agregados y salsas,aggregates and sauces,100
Maki sin Arroz,maki without rice,100
Otai Premium Rolls,Premium otai Rolls,59
Bebidas sin Alcohol,Alcohol Drinks,71
Hay sopas y cremas,There are soups and creams,100
Envueltos en Crema,wrapped in cream,97
Mi-Sushi compartido,shared my-sushi,52
Gaseosas,gaseous,80
Gohan King,Gohan King,63
Especialidades por mitades,Specialties in halves,90
Krispy Roll,Krispy Roll,95
Bronto Jamón,bronto ham,100
Hamburguesas americanas,American burgers,100
Tortillas,Tortillas,100
Tempurizados en Panko,tempurizados in panko,100
Happy Hour,Happy Hour,100
Combinación 40 piezas,Combination 40 pieces,93
Fusión Rolls,fusion rolls,46
Hosomaki envueltos en alga Nori,hosomaki wrapped in nori,89
Hosamaki,hosamaki,100
Envueltos en Nori o Panko,Wrapped in Nori or Panko,97
Línea Clásica,classic line,100
Empanadas de Queso,cheese empanadas,100
Kiraki Rolls,Kiraki Rolls,96
Lomitos,lomitos,100
Happy hour (2x1),happy hour (2x1),100
California rolls (8 piezas),California rolls (8 pieces),72
9 cortes (Envueltos en semillas),9 cuts (Wrapped in seeds),98
Guapi Rolls,Guapi Rolls,95
Dang Quesadillas,Dang Quesadillas,100
Hosomaki rolls,Hosomaki rolls,55
Canasta Barrio Santo,Barrio Santo basket,63
Fideos de arroz,rice noodles,100
Burritos y super burritos,burritos and super burritos,94
Nuggets,Nuggets,100
Roll extra,Extra Roll,95
Entradas,Tickets,100
Rollos Especiales de la Casa,Special Rolls House,72
Promoción  Mundialera,mundialera promotion,100
Para los Peques,for kids,66
Tempurizados,tempurizados,100
"Sashimi, Ceviche y Tiraditos",Sashimi Ceviche and Tiraditos,100
"Sándwiches, Wraps y Ensaladas",wraps sandwiches and salads,75
Especial Roll,Special Roll,59
Aperitivo para compartir,appetizer to share,100
Tortilla Española,Spanish omelette,94
"Mi- Sushi Celebración ""F""","micro sushi celebration ""f""",70
Platos Árabes Vegetarianos,Arab vegetarian dishes,66
Pizzas de la Casa,pizzas house,78
Platos salados,savory dishes,100
Cheese Rolls,cheese rolls,34
Promoción Especial,Special Promotion,100
Promociones Pizzas Familiares,Family Pizzas Promotions,72
Arroces y Pastas,rice and pasta,82
Promo Sábado,Promo Saturday,100
Papas fritas,french fries,100
Guapi Roll,Guapi Roll,95
Menú de Niños,Kids menu,93
Senshi,senshi,100
Platos Diarios,Daily Dishes,75
Menú almuerzo,Lunch Menu,33
Tamaki,Tamaki,100
Chaumen,chaumen,100
Roll's Fritos,roll's fried,51
Jugos Familiares 1 1/2 Lt,Family juice 1 1/2 Lt,85
Lomito 2 x 1,lomito 2 x 1,100
Tablas especiales,Special Tables,100
Carnes y aves,Meat and poultry,57
Opciones bebidas,beverage options,91
Razz vegano,razz vegan,47
Mediterráneos,Mediterranean,96
Pizza Rosse,pizza red,80
Burritos y Super Burritos,burritos and super burritos,94
Special rolls Bon,special rolls bon,63
Urakakami sake,urakakami sake,78
Rolls California Especial,california rolls special,71
Carne de cerdo,pork,52
Menú Oferta,Menu Offer,100
Chivitos de carne,chivitos meat,51
Miércoles,Wednesday,100
F. Tempura rolls,F. Tempura rolls,60
Mechada,mechada,100
Pizzas clásicas,classic pizzas,100
Tori Niku,tori niku,100
Promociones,promotions,100
Men Rui Fideos,men rui fideos,90
Platos Fondos,Dishes Funds,100
Fritanga típica colombiana,fritanga typical Colombian,100
Especiales envueltos,wrapped Special,48
Otros platillos,other dishes,88
Daisuki Rolls,Daisuki Rolls,96
Para Disfrutar,to enjoy,100
Yukimi pizzas,yukimi pizzas,46
Avocados Roll's,Avocados Roll's,54
Especialidades,specialties,100
Pizza Bianche Italiane,Pizza White Italian,79
Combinaciones OISHII,oishii combinations,100
Especialidades del Rincón de Carnes,eating meat specialties,70
Razz peruano,Peruvian Razz,100
Brochetas,skewers,37
Entradas frías y calientes,cold and hot appetizers,75
Salsa Toro Toro Gourmet,Toro Toro Gourmet Salsa,73
Pulpo,octopus,100
Para Acompañar,to accompany,100
Bebidas Familiar 1 1/2 Lt,Familiar Drinks 1 1/2 Lt,100
Rolls envueltos en Almendra,rolls wrapped in almond,98
Carne de Vacuno,beef,66
Razz delux,razz delux,50
Hamburguesas Artesanales Rellenas,handmade stuffed burgers,61
Pescado,fish,100
Sándwiches Livianos,Lightweight Sandwiches,68
Carnes y otros,meats and other,100
Dulces árabes,Arabic sweets,100
Pizzas especiales,Specialty Pizzas,100
Especialidad Salmón,specialty salmon,60
Antojos,Cravings,100
Sanguches para niños,Children sandwiches,25
Hosomaki new style,hosomaki new style,41
Arroces y pastas,rice and pasta,82
Rolls Fusion,Rolls Fusion,84
Picoteos Banzai,picoteos banzai,100
Pizzas Artesanales,artisanal pizzas,100
Nikkei,Nikkei,100
Cheese Cream Rolls,cream cheese rolls,39
Cuarto Caliente,Fourth Caliente,100
Menús Especiales,Special menus,94
Envuelto en Queso Crema,cream cheese wrapped in,47
9 Cortes (Envueltos en masago),9 Cortes (Wrapped in masago),98
Vienesas Chicas,Viennese Girls,68
Tragos,Tragos,100
Tempura y Furai,tempura and furai,100
Rolls vegetariano,vegetarian rolls,94
Cocteles Preparados,prepared cocktails,92
Handroll,handroll,100
Sashimi,sashimi,100
Especial Roll 8 Piezas,Special Roll 8 Pieces,75
Rolls Envueltos en Salmón o Pulpo,rolls wrapped in salmon and octopus,95
Rainbow Rolls,Rainbow Rolls,96
More Hot Rolls,more hot rolls,28
Elige tu pizza,Choose your pizza,100
Para Compartir,to share,100
Infusiones,infusions,100
Sándwiches gourmet,gourmet sandwiches,100
Sushi nikkei,Sushi Nikkei,91
Roll vegetarianos,roll vegetarian,90
Pizzas Malón,malón pizzas,100
Hand rolls,hand rolls,41
Menú Hora de Almuerzo,lunch menu,87
Cafés Fríos,cold coffees,100
Recomendaciones del Chef,Chef Recommendations,90
Salsas,sauces,100
Otros Platillos,Other Cymbals,100
Rollos envueltos en Nori,Wrapped in Nori Rolls,63
Salados,salted,92
Especial Salmón,Special Salmon,50
"California Rolls cubierto Sésamo, Ciboullet o Masago",california rolls covered ciboullet sesame or masago,83
Agregados Speciale,aggregates speciale,100
Cortes de carnes grilladas,grilled meat cuts,76
8 cortes (Envueltos en nori),8 slices (wrapped in nori),82
Margaritas,daisies,100
Nuestros postres,our desserts,100
Sánguches de la casa,sandwiches house,70
Itamae fusión,itamae merger,100
Nos volvimos locos,We were so excited,100
Arroces y Acompañamientos,rice and accompaniments,92
Sanguches de filete de vacuno,beef steak sandwiches,53
Rolls Especial,Rolls Special,83
Nuevas Pizzas,new pizzas,100
Rolls tipo California,California Rolls type,60
Big Sandwiches,Big Sandwiches,68
Temaki (Hand Roll),Temaki (Hand Roll),77
Shawarmas,shawarmas,100
"Vacuno, Pollo, Cerdo",Beef Chicken Pork,55
Hosomaki Pequeño,hosomaki small,94
2x1 en Sushi,2x1 Sushi,47
Promoción 2 Personas,Promotion 2 People,100
Gastronomía peruana ceviches,Peruvian cuisine ceviches,46
Sándwiches Tradicionales,traditional sandwiches,69
Gyosa,gyosa,100
Roll´s de la Casa,Roll's House,26
Sandwich Altoque,Sandwich altoque,50
Completos y As,Full and As,96
Bushido Rolls Queso Crema,Bushido Cream Cheese Rolls,62
Futtumaki,futtumaki,100
"Sopas, Arroz y Ramen",Soups Rice and Ramen,75
Bebidas y Agregados,beverages and aggregates,100
Sugerencias premium,premium suggestions,100
Sesame,sesame,61
Bocados fritos,fried snacks,64
Charcutería,charcuterie,100
Appetizer Caliente,hot appetizer,77
California Roll´s,California Roll's,83
Piezas,pieces,100
Parrillas,grills,100
Combinaciones W Sushi,Combinations W Sushi,100
***Promoción Solo Hoy***,*** Promotion *** just today,80
Rolls Env. En Palta,Rolls Env. In Palta,97
Ayúdanos a ayudar,Help us to help,100
Gohan´s,Gohan's,76
Entradas y piqueos calientes,tickets and hot snacks,84
Ensaladas Sugeridas por el Chef,suggested by the chef salads,54
Menú colaciones,snacks menu,45
Sándwich Sugerencias del chef,Sandwich-Aways,94
Jugos de frutas,fruit juices,86
Rolls clásicos Bon,bon rolls classics,76
Hosomki,hosomki,100
Hako Sushi,hako sushi,100
California roll,California roll,100
Menú Infantil,children's menu,100
Nuestras Conbinaciones,Our COMBINATIONS,40
Bushido Hot Panko Rolls,Bushido Panko Hot Rolls,74
Aceites y Vinagres,oils and vinegars,100
Rolls en Salmón (8 trozos),Rolls in Salmon (8 pieces),79
Coctel por ciento,Percent cocktail,68
Desayunos,Breakfasts,100
Premiun Rolls,premium rolls,44
Arma tu Pizza,build your pizza,58
Ensaladas a tu pinta,Salads your pint,89
Furray,furray,100
Ármalo,I Build It,101
Rolls Tempura,Tempura Rolls,96
Rincón de Mariscos,Rincón de Mariscos,100
Botanas,snack,37
Pizzas Internacionales,international pizzas,100
Cream Cheese,cream cheese,34
Aperitivos,snacks,100
Whiskey,whiskey,92
Rolls envuelto en salmón,wrapped in salmon rolls,66
Quicheé,Quicheé,100
Los Más Pedidos,Most Orders,47
Los Lomos,chines,71
Promociones cortes calientes,hot promotions cuts,72
Platos salteados,sauteed dishes,100
Bebestibles,beverages,44
Futo,Futo,100
Premium rolls,premium rolls,51
Temakis y Hosomakis,Temakis and Hosomakis,100
Menús Promocionales,promotional menus,100
Tiro Libre,free kick,100
Fish and chips,fish and chips,15
California Rolls Especiales,Special california rolls,96
Envuelto en Pollo,chicken wrapped in,64
Te y Café,Tea and Coffee,76
Especial mixto,Joint Special,58
Especialidades Tradicionales,traditional specialties,100
Queso Crema Rolls,cream cheese rolls,55
Hielo y otros,ice and other,96
Arroz Frito,fried rice,100
BrontoAs y Hot Dog,brontoas and hotdog,100
Buta Niku,buta niku,100
Salmon Rolls,salmon rolls,32
Cheese Roll,cheese roll,32
Ave Lomitos,Ave Lomitos,100
Acompañamientos japoneses,Japanese Accompaniments,100
Sushi Special Rolls,special sushi rolls,62
Rolls en Panko Fritos,rolls of fried panko,90
Rolls Exclusivos,Exclusive rolls,90
Ikiru empanadas,ikiru pies,60
Salchipapas,salchipapas,100
Tutto Promociones,tutto promotions,64
Especial rolls,Special rolls,54
Sushi Rolls,Sushi Rolls,100
Combinaciones Sushiro,Combinations Sushiro,100
Especial rolls tempurizado,Special tempura rolls,33
Arroz Caliente,hot rice,100
California (8 cortes),california (8 slices),80
***Promoción Sólo Hoy***,*** Promotion *** only today,81
Fajita,fajita,100
Rolls Tempura o Panko,rolls tempura or panko,91
Kalifornia Rolls,Kalifornia Rolls,96
Special Rolls,special rolls,53
Sugerencias del chef peruano,Suggestions Peruvian chef,100
Para Comer a Cualquier Hora,To Eat Anytime,72
Postres y Cafetería,desserts and coffee,80
Para los Aperrados,for aperrados,87
Appetizers fríos,cold appetizers,76
Rolls,rolls,90
No quiero roll,Do not want to roll,77
Sándwich Japonés,Japanese sandwich,94
White Rollls,White Rollls,48
Promoción Entre Amigos y Familia,promotion among friends and family,95
Sake rolls - 30% off,sake rolls - 30% off,45
Nepal Rolls,Nepal Rolls,95
Home Box,Home Box,100
Bebidas/Jugos,drinks / juices,92
Appetizers Fríos,cold appetizers,76
Platos de fondo,main dishes,48
Otros platos,other dishes,100
Rolls envuelto en tempura o panko,rolls wrapped in tempura or panko,97
Appeteizer calientes,Hot appeteizer,92
Súper razz,super razz,90
Pollo a la brasa,grilled chicken,74
Premium Bushido Rolls,Premium Bushido Rolls,82
Especialidades Appetizer,appetizer specials,72
Roll caliente,hot roll,89
Lemon Nikkei rolls,Nikkei lemon rolls,48
Almuerzos Saludable,healthy lunches,97
Otros Envueltos,others involved,66
Picoteos,picoteos,100
Sandwiches de Jamón,ham sandwiches,92
Tablas Sushi,sushi tables,88
Gyozas Tempurizadas,tempurizadas gyozas,100
Shawarmas al plato,Shawarmas pigeon,76
"Rolls en Sésamo, Ciboulette o Masago",Rolls in Sesame Ciboulette or Masago,94
Platos Club,club dishes,84
Pizzas Familiares y Especiales,family and special pizzas,76
Bushido Rolls Palta,Bushido Avocado Rolls,61
Chicharrones aromatizados y anticuchos,chicharrones and flavored kebabs,55
Sopas calientes,hot soups,100
Para Comenzar,to start,100
Razz combo menú,razz combo menu,43
Postres Mexicanos,Mexican desserts,94
Platos Individuales,individual plates,89
Tempura o panko,tempura or panko,100
Empanadas sin queso,Empanadas without cheese,100
Ensaladas naturistas,salads naturists,100
Fondos y clásicos,funds and classic,97
Rolls Calientes Apanados (8 bocados),breaded hot rolls (8 snacks),77
Ensaladas Internacionales,international salads,100
Panes,breads,100
Sashimi - 30% off,sashimi - 30% off,69
Razz papas,razz potatoes,36
Roll Furay o Apanado,Roll Furay or Breaded,88
Cebiches,cebiches,100
Tablas,draw,15
Uramaki Especial (10 unidades),Uramaki Special (10 items),77
Comida Peruana,Peruvian Food,100
Pizzas armadas,Armed Pizzas,92
Bocadillos hot,hot sandwiches,70
Arrollado,rolled,100
Combinaciones Sushi,Combinations Sushi,100
Sakanatataki,sakanatataki,100
Helados Savory,savory ice cream,75
"Churrasco, lomito, ave, hamburguesa.",Barbecue lomito hamburger bird.,75
Panko o Tempura,panko or tempura,100
Cuarto frío,cold room,100
Natura Rolls,Natura Rolls,96
Sanguches vegetarianos,vegetarian sandwiches,82
Rolls Calientes Banzai,hot rolls banzai,93
Jugos en Agua,Juice in Water,96
As o hot dog,ace or hot dog,100
Nuevas Promociones,new developments,55
Appetizer (Entradas Frías) y Platos Calientes,appetizer (cold appetizers) and hot dishes,70
Arma tu Telepizza,Build your Telepizza,71
Envueltos en queso crema,Wrapped in cream cheese,92
Cream rolls - 30% off,cream rolls - 30% off,40
Roll Mixtos,mixed roll,81
Promo Manía,Promo Mania,86
Fetuccines,fetuccines,100
Gourmet,gourmet,33
Frankfurters,frankfurters,18
Menú Kanpeki,Kanpeki menu,84
Pizza Promozione,Pizza Promotion,100
Rolla Apanado Panko,rolla panko breaded,65
Los clásicos de siempre,the classics,70
Pizza Tradicional,Traditional Pizza,94
Sandwiches Naturistas,Naturist sandwiches,88
Tutto Sabores,Everything Sabores,100
Nikkei rolls,nikkei rolls,48
Gyozas Gourmet,gourmet gyozas,100
Tutto Clásicas,Everything Clásicas,100
Completo 25 cm,complete 25 cm,72
Roll envuelto en Mixto,roll wrapped in mixed,95
Añade tu Complemento,Add your Complement,100
Promoción Illadi,Promotion Illadi,100
Comida Mexicana,Mexican food,93
Razz sashimi,razz sashimi,58
Menú Hora del Almuerzo,lunch menu,85
Dinner,dinner,20
Especialidades Gourmet,gourmet specialties,100
Colación,collation,100
Hay postres,There desserts,100
Promociones Sky,Sky Promotions,100
Pescados y ensaladas,fish and salads,97
Desserts,desserts,26
Californias envueltos en Sésamo,californias wrapped in sesame,95
Promoción Mundialera,mundialera promotion,100
Sashimi 12 Cortes,sashimi 12 cuts,100
Carmener,carmener,100
Hot rolls,hot rolls,32
Cerdos,pigs,100
Sándwiches tradicionales,traditional sandwiches,69
Para picar y compartir,To chop and share,100
Gigas Burger,Gigas Burger,88
Arma tu roll,Build your roll,60
Sashimi (7 cortes/ 15 cortes),sashimi (7 cut / 15 cuts),91
Especial Rolls *,Special rolls *,62
Especialidad boricua,Puerto Rican specialty,68
Premium Rolls **,premium rolls **,60
Hanami Rolls,Hanami Rolls,96
Especialidades de pollo,chicken specialties,100
Smoothies de Frutas,Fruit smoothies,66
Las Chorrillanas,the chorrillanas,100
Helados Bresler,Bresler ice cream,86
Razz california,razz california,100
Ofertas familiares,Family offers,94
Pastas y Salsas,pastas and sauces,100
Bronto Ave,Bronto Ave,100
Cajita Chicky,chicky box,69
Sugerencias del Chef,chef's suggestions,90
Salad Japanese,japanese salad,70
Postre y Bebidas,dessert and drinks,100
Ensaladas Tradicionales,traditional salads,100
"Quiches, crepes salados y omelettes.",quiches and savory crepes omelettes.,77
Menú oferta,offer menu,88
Tradicionales,traditional,91
Snacks Salados,Salty Snacks,92
Licores,Liquors,100
Menú para compartir,share menu,100
Comidas Calientes,Hot Meals,100
Envueltos en salmón,Wrapped in Salmon,97
Tostadas/ Tapaditos,toast / tapaditos,97
Entradas y sopas,appetizers and soups,64
Futomaki,futomaki,100
Solo de 12 a 18 Hrs,only 12 to 18 hrs,83
Sashimi fuzion,sashimi fuzion,100
Sándwiches chivitos,sandwiches chivitos,100
2x1 en rolls,2x1 rolls,101
Dulces Árabes,Arab Sweets,92
Rolls Envueltos en Queso Philadelphia,rolls wrapped in philadelphia cheese,90
Otros Fritos,Other Fritos,100
Arma tus rolls,Plan your rolls,64
Vip Rolls,vip rolls,52
Fish House,Fish House,100
Entradas Tandoor,tandoor tickets,100
Picoteos Especiales,Special pecking,91
"Rolls envueltos en palta, salmón o queso crema",rolls wrapped in avocado salmon or cream cheese,83
Extras,extras,100
Gastronomía peruana entradas,Peruvian cuisine tickets,44
Nikkei y del Chef,Nikkei and the chef,90
Combinaciones de Rolls / Promociones,combinations of rolls / promotions,98
Pizzas Promoción,pizzas promotion,58
Promociones 2,2 promotions,84
Café,coffee,100
Bowls,bowls,80
Tempura y panko rolls,Tempura rolls and panko,60
Old School Rolls,Old School Rolls,43
Combos La Rotonda,Combos La Rotonda,100
Al Gusto,to taste,100
Rellenos,Fillings,100
Hotdogs,hotdogs,100
Pastas del Emporio La Rosa,Pasta Emporio La Rosa,89
DD Combos,DD Combos,100
Nikkei Ceviches,Nikkei Ceviches,100
¡Sólo por hoy!,Just for today!,86
Jamón,ham,100
Pote,jar,22
Pizzas Diavola,pizzas diavola,88
Combinaciones o Sugerencias,combinations or suggestions,100
Lunch Club,Lunch Club,40
Promoción Almuerzo,Lunch Promotion,100
Sándwich clásicos,classic sandwich,97
Sangría,bleeding,100
Japón,Japan,100
Pizzas Retro,retro pizzas,100
Risottos,risottos,80
Pollos & Parrilladas,Chickens & Grills,89
Tablas para compartir,Tables to share,100
Syrah,syrah,100
Antipasto,appetizer,100
Antipasti,appetizers,100
Razz salsas,Razz sauces,100
Envuelto en salmón,wrapped in salmon,100
Appetizers para compartir,appetizers to share,84
Pastas Frescas,fresh pasta,92
Rolls envueltos en palta y salmón,rolls wrapped in avocado and salmon,82
Vinos,wines,100
Chorriwarmas,chorriwarmas,100
Menú Yokomo,Yokomo menu,83
Bushido Mixtos,bushido mixed,66
Fusion Rolls,fusion rolls,34
Opciones Promos,Options Promos,100
Especialidades de la Cocina Caliente,Hot kitchen specialties,91
Mercadito de Doña Arepa,Mercadito Dona Arepa,93
Tori Rolls envueltos en Pollo apanado en Panko,tori rolls wrapped in chicken breaded in panko,79
Nuevos sandwich premium,new sandwich premium,54
