beef,beef dish
corn,corn dish
crab,crab dish
chicken,chicken dish
egg,egg dish
grain,grain dish
steak,steak dish
pork,pork dish
shrimp,seafood dish
squid,seafood dish
seafood,seafood dish
scallop,seafood dish
tilapia,seafood dish
penepura,seafood dish
prawn,seafood dish
sea cucumber,seafood dish
abalone,seafood dish
lobster,seafood dish
jheenga,seafood dish
snail,seafood dish
eel,seafood dish
rice,rice dish
pulao,rice dish
biryani,rice dish
risotto,rice dish
onigiri,rice dish
bento,rice dish
vegetable,vegetable dish
hot pot,gravy dish
hotpot,gravy dish